State,Institution,Date Opened
AZ,Arizona State University,5/1/14
CA,Butte-Glen Community College District,5/1/14
CA,Occidental College,5/1/14
CA,University of California-Berkeley,5/1/14
CA,University of Southern California,5/1/14
CO,Regis University,5/1/14
CO,University of Colorado at Boulder,5/1/14
CO,University of Colorado at Denver,5/1/14
CO,University of Denver,5/1/14
CT,University of Connecticut,5/1/14
DC,Catholic University of America,5/1/14
FL,Florida State University,5/1/14
GA,Emory University,5/1/14
HI,University of Hawaii at Manoa,5/1/14
ID,University of Idaho,5/1/14
IL,Knox College,5/1/14
IL,University of Chicago,5/1/14
IN,Indiana University-Bloomington,5/1/14
IN,Vincennes University,5/1/14
MA,Amherst College,5/1/14
MA,Boston University,5/1/14
MA,Emerson College,5/1/14
MA,Harvard College,5/1/14
MA,Harvard University—Law School,5/1/14
MA,University of Massachusetts-Amherst,5/1/14
MD,Frostburg State University,5/1/14
MI,Michigan State University,5/1/14
MI,University of Michigan-Ann Arbor,5/1/14
NC,Guilford College,5/1/14
NC,University of North Carolina at Chapel Hill,5/1/14
ND,Minot State University,5/1/14
NH,Dartmouth College,5/1/14
NJ,Princeton University,5/1/14
NY,Cuny Hunter College,5/1/14
NY,Hobart and William Smith Colleges,5/1/14
NY,Sarah Lawrence College,5/1/14
NY,Suny at Binghamton,5/1/14
OH,Denison University,5/1/14
OH,Ohio State University,5/1/14
OH,Wittenberg University,5/1/14
OK,Oklahoma State University,5/1/14
PA,Carnegie Mellon University,5/1/14
PA,Franklin and Marshall College,5/1/14
PA,Pennsylvania State University,5/1/14
PA,Swarthmore College,5/1/14
PA,Temple University,5/1/14
TN,Vanderbilt University,5/1/14
TX,Southern Methodist University,5/1/14
TX,The University of Texas-Pan American,5/1/14
VA,College of William and Mary,5/1/14
VA,University of Virginia,5/1/14
WA,Washington State University,5/1/14
WI,University of Wisconsin-Whitewater,5/1/14
WV,Bethany College,5/1/14
WV,West Virginia School of Osteopathic Medicine,5/1/14
